                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.49519,                  0.589,                0.46381,                0.85004,                0.98834,                0.99107,                0.98063,                0.88459,                0.98834,                0.99107,                0.98063,                0.86827,                0.45575,                0.62348,                0.40924,                 0.8292,             0.00087484,             0.00087484,             0.00087484
                     50,                0.49454,                0.56615,                0.45957,                0.84812,                0.98853,                0.99107,                 0.9813,                 0.8937,                0.98853,                0.99107,                 0.9813,                0.86886,                0.43727,                0.61268,                0.38718,                0.82306,             0.00085834,             0.00085834,             0.00085834
                     51,                0.49682,                0.55318,                0.45301,                0.85578,                0.98837,                0.99107,                0.98199,                 0.8948,                0.98837,                0.99107,                0.98199,                0.87764,                0.43729,                0.58738,                0.38696,                0.82117,             0.00084184,             0.00084184,             0.00084184
                     52,                0.49842,                0.56606,                0.45471,                0.84772,                0.98759,                0.99107,                0.98502,                0.88922,                0.98759,                0.99107,                0.98502,                0.88446,                0.46528,                0.58202,                0.40307,                 0.8309,             0.00082533,             0.00082533,             0.00082533
                     53,                0.48083,                0.53412,                0.45086,                0.84896,                0.98757,                0.99107,                0.98534,                0.89968,                0.98757,                0.99107,                0.98534,                0.87459,                0.43099,                0.58924,                0.38672,                0.82143,             0.00080883,             0.00080883,             0.00080883
                     54,                  0.483,                0.55357,                 0.4306,                0.85381,                0.98766,                0.99107,                0.98353,                0.88952,                0.98766,                0.99107,                0.98353,                0.86946,                0.44204,                0.60563,                0.38236,                0.82471,             0.00079233,             0.00079233,             0.00079233
                     55,                0.47979,                0.59348,                0.44187,                0.83719,                0.98725,                0.99107,                0.98217,                 0.8948,                0.98725,                0.99107,                0.98217,                0.86707,                0.43143,                0.59595,                0.37788,                0.82133,             0.00077582,             0.00077582,             0.00077582
                     56,                0.45777,                0.55808,                0.43983,                0.84354,                0.98564,                0.99107,                0.98181,                0.90617,                0.98564,                0.99107,                0.98181,                0.86998,                0.41076,                0.57251,                0.38087,                0.82074,             0.00075932,             0.00075932,             0.00075932
                     57,                0.45428,                 0.5528,                0.41984,                0.83291,                 0.9861,                0.99107,                0.98129,                 0.8991,                 0.9861,                0.99107,                0.98129,                0.86961,                0.42213,                0.57004,                0.39102,                0.82567,             0.00074282,             0.00074282,             0.00074282
                     58,                0.44721,                0.54608,                0.42265,                0.83943,                0.98649,                0.99107,                0.98143,                0.89094,                0.98649,                0.99107,                0.98143,                0.87051,                0.44654,                0.57294,                 0.3951,                0.82613,             0.00072631,             0.00072631,             0.00072631
                     59,                0.47557,                0.52996,                0.42382,                0.82877,                0.98726,                0.99107,                0.98199,                0.88656,                0.98726,                0.99107,                0.98199,                0.88455,                0.44289,                0.55935,                0.38013,                0.82061,             0.00070981,             0.00070981,             0.00070981
                     60,                0.45624,                0.51409,                0.41927,                0.84647,                0.98852,                0.99107,                0.98232,                0.90042,                0.98852,                0.99107,                0.98232,                0.88401,                 0.4221,                0.54392,                0.36874,                0.82407,             0.00069331,             0.00069331,             0.00069331
                     61,                0.46827,                0.52289,                 0.4309,                0.84656,                0.98776,                0.99107,                0.98198,                0.89386,                0.98776,                0.99107,                0.98198,                0.87642,                0.43444,                 0.5564,                0.37718,                0.82612,              0.0006768,              0.0006768,              0.0006768
                     62,                0.47362,                0.54564,                0.42162,                0.85531,                0.98715,                0.99107,                0.98238,                0.90012,                0.98715,                0.99107,                0.98238,                 0.8759,                0.43132,                0.57036,                 0.3783,                0.82081,              0.0006603,              0.0006603,              0.0006603
                     63,                0.45359,                0.54591,                0.41456,                0.84477,                0.98692,                0.99107,                0.98423,                0.90903,                0.98692,                0.99107,                0.98423,                0.88289,                0.42824,                0.55366,                 0.3675,                0.81816,              0.0006438,              0.0006438,              0.0006438
                     64,                0.47239,                0.57496,                0.42533,                0.83544,                0.98841,                0.99107,                0.98569,                0.91966,                0.98841,                0.99107,                0.98569,                0.88428,                 0.4062,                0.54624,                0.34017,                0.81647,             0.00062729,             0.00062729,             0.00062729
                     65,                0.45423,                0.54179,                0.41564,                0.84019,                0.98835,                0.99107,                0.98563,                0.91241,                0.98835,                0.99107,                0.98563,                0.87826,                0.41686,                0.54995,                0.34282,                0.81877,             0.00061079,             0.00061079,             0.00061079
                     66,                0.46286,                0.55127,                0.42006,                0.83217,                0.98818,                0.99107,                0.98392,                0.91678,                0.98818,                0.99107,                0.98392,                0.88085,                0.41815,                0.55767,                0.34913,                0.82001,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.4351,                0.51654,                0.40271,                0.82665,                 0.9887,                0.99107,                0.98265,                0.90411,                 0.9887,                0.99107,                0.98265,                0.88317,                0.42651,                0.55108,                  0.353,                0.82074,             0.00057778,             0.00057778,             0.00057778
                     68,                0.43426,                0.51567,                0.39031,                0.83932,                 0.9884,                0.99107,                0.98283,                 0.9052,                 0.9884,                0.99107,                0.98283,                0.88623,                0.42787,                0.54265,                0.34235,                0.81845,             0.00056128,             0.00056128,             0.00056128
                     69,                0.43621,                0.52762,                0.39291,                 0.8265,                0.98859,                0.99107,                0.98269,                0.90812,                0.98859,                0.99107,                0.98269,                0.87932,                0.40936,                 0.5425,                 0.3374,                0.81439,             0.00054478,             0.00054478,             0.00054478
                     70,                0.44779,                0.56412,                0.40978,                0.83535,                0.98843,                0.99107,                0.98305,                0.90568,                0.98843,                0.99107,                0.98305,                0.87417,                0.41353,                0.53695,                0.33488,                0.81545,             0.00052827,             0.00052827,             0.00052827
                     71,                0.44369,                0.53771,                0.38699,                 0.8427,                0.98822,                0.99107,                0.98318,                0.90606,                0.98822,                0.99107,                0.98318,                0.87634,                0.41476,                0.53472,                0.33274,                0.81592,             0.00051177,             0.00051177,             0.00051177
                     72,                0.42145,                0.51866,                0.38278,                0.83511,                0.98799,                0.99107,                0.98344,                0.91515,                0.98799,                0.99107,                0.98344,                0.88339,                0.40776,                0.52475,                0.33633,                0.81521,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.4314,                0.53968,                0.38544,                0.83435,                0.98793,                0.99107,                0.98402,                0.91619,                0.98793,                0.99107,                0.98402,                 0.8823,                0.39874,                0.52982,                0.33137,                0.81383,             0.00047876,             0.00047876,             0.00047876
                     74,                0.42317,                 0.5319,                0.37877,                0.82192,                0.98802,                0.99107,                 0.9844,                0.91365,                0.98802,                0.99107,                 0.9844,                 0.8784,                0.40571,                0.54207,                0.32736,                0.81443,             0.00046226,             0.00046226,             0.00046226
                     75,                0.42429,                0.54973,                0.38398,                0.82547,                0.98817,                0.99107,                0.98476,                0.91299,                0.98817,                0.99107,                0.98476,                 0.8749,                0.40556,                0.54484,                0.32214,                 0.8147,             0.00044576,             0.00044576,             0.00044576
                     76,                0.41895,                0.55113,                0.37835,                0.82456,                0.98864,                0.99107,                0.98816,                0.91706,                0.98864,                0.99107,                0.98816,                0.89088,                0.40329,                0.52766,                0.31846,                0.81223,             0.00042925,             0.00042925,             0.00042925
                     77,                0.40057,                0.51467,                0.37121,                0.84075,                0.98866,                0.99107,                 0.9877,                0.91757,                0.98866,                0.99107,                 0.9877,                0.89321,                0.39995,                0.52857,                0.31358,                0.81156,             0.00041275,             0.00041275,             0.00041275
                     78,                0.42633,                0.52284,                0.37412,                0.82062,                0.98864,                0.99107,                0.98653,                0.91893,                0.98864,                0.99107,                0.98653,                0.89002,                0.39717,                0.52954,                0.30757,                0.81107,             0.00039625,             0.00039625,             0.00039625
                     79,                0.43381,                0.53936,                0.38181,                0.84281,                0.98863,                0.99107,                0.98622,                0.91823,                0.98863,                0.99107,                0.98622,                0.89027,                0.39178,                0.52722,                0.30798,                0.81154,             0.00037974,             0.00037974,             0.00037974
                     80,                0.40429,                0.48174,                0.37582,                0.83928,                0.98837,                0.99107,                0.98854,                0.91454,                0.98837,                0.99107,                0.98854,                0.89523,                0.39052,                0.52923,                0.30456,                 0.8115,             0.00036324,             0.00036324,             0.00036324
                     81,                0.40185,                0.49161,                0.37722,                0.83112,                0.98837,                0.99107,                0.98959,                0.91525,                0.98837,                0.99107,                0.98959,                0.89623,                0.39735,                 0.5315,                0.30503,                0.81132,             0.00034674,             0.00034674,             0.00034674
                     82,                0.41485,                0.51355,                0.36691,                0.82814,                0.98845,                0.99107,                0.98986,                0.90503,                0.98845,                0.99107,                0.98986,                0.90072,                0.40755,                0.54139,                0.30538,                0.81287,             0.00033023,             0.00033023,             0.00033023
                     83,                   0.42,                0.51525,                0.36746,                0.83583,                0.98845,                0.99107,                0.98943,                 0.9002,                0.98845,                0.99107,                0.98943,                0.89696,                0.41116,                0.54978,                0.30808,                0.81325,             0.00031373,             0.00031373,             0.00031373
                     84,                0.44506,                0.50963,                0.38355,                0.84204,                0.98849,                0.99107,                0.98608,                0.91163,                0.98849,                0.99107,                0.98608,                0.89463,                0.39501,                0.53557,                0.31185,                0.81092,             0.00029723,             0.00029723,             0.00029723
                     85,                0.43299,                0.53569,                0.38241,                0.82877,                0.98851,                0.99107,                0.98481,                0.91084,                0.98851,                0.99107,                0.98481,                0.89491,                0.39703,                 0.5342,                0.31049,                0.81177,             0.00028072,             0.00028072,             0.00028072
                     86,                0.42712,                0.51661,                0.36535,                0.83184,                0.98869,                0.99107,                 0.9843,                0.91652,                0.98869,                0.99107,                 0.9843,                0.89007,                0.39143,                0.53293,                0.30926,                 0.8105,             0.00026422,             0.00026422,             0.00026422
                     87,                0.41845,                0.51954,                0.37594,                0.83633,                0.98826,                0.99107,                 0.9843,                0.90872,                0.98826,                0.99107,                 0.9843,                0.89167,                0.38258,                0.52787,                0.30234,                0.80872,             0.00024772,             0.00024772,             0.00024772
                     88,                0.39021,                0.50783,                0.35327,                0.82331,                0.98792,                0.99107,                0.98358,                0.90886,                0.98792,                0.99107,                0.98358,                0.88777,                0.38328,                0.52742,                0.29513,                 0.8078,             0.00023121,             0.00023121,             0.00023121
                     89,                0.41919,                 0.5096,                0.37075,                0.83417,                0.98798,                0.99107,                0.98466,                0.91054,                0.98798,                0.99107,                0.98466,                0.89103,                0.38134,                0.52372,                0.29071,                0.80739,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.3989,                0.51686,                0.36033,                 0.8427,                0.98808,                0.99107,                0.98517,                 0.9117,                0.98808,                0.99107,                0.98517,                0.89787,                 0.3821,                0.52054,                0.28898,                0.80778,             0.00019821,             0.00019821,             0.00019821
                     91,                0.35665,                 0.4774,                0.34167,                0.79826,                0.98818,                0.99107,                 0.9864,                0.91786,                0.98818,                0.99107,                 0.9864,                0.89668,                0.38491,                 0.5205,                0.28974,                0.80836,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35186,                 0.4448,                0.35393,                 0.8143,                0.98849,                0.99107,                0.98624,                0.91199,                0.98849,                0.99107,                0.98624,                0.89307,                0.38847,                 0.5228,                0.29174,                0.80812,              0.0001652,              0.0001652,              0.0001652
                     93,                0.33922,                0.45725,                0.34237,                0.78852,                0.98863,                0.99107,                0.98563,                0.90805,                0.98863,                0.99107,                0.98563,                0.89201,                0.39074,                0.52496,                0.29813,                0.80856,              0.0001487,              0.0001487,              0.0001487
                     94,                0.33637,                0.46163,                 0.3343,                0.80005,                0.98849,                0.99107,                0.98561,                0.91391,                0.98849,                0.99107,                0.98561,                0.89447,                0.39216,                0.52635,                0.30082,                0.80941,             0.00013219,             0.00013219,             0.00013219
                     95,                0.32681,                0.43379,                 0.3349,                0.80352,                0.98844,                0.99107,                0.98578,                0.91076,                0.98844,                0.99107,                0.98578,                0.89277,                 0.3942,                0.52615,                0.30133,                0.81098,             0.00011569,             0.00011569,             0.00011569
                     96,                0.33468,                0.44847,                0.33824,                0.81651,                0.98858,                0.99107,                0.98621,                0.91326,                0.98858,                0.99107,                0.98621,                0.89339,                0.39576,                0.52499,                0.29838,                0.81332,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.33951,                0.46058,                0.33833,                0.80778,                 0.9886,                0.99107,                0.98727,                0.91549,                 0.9886,                0.99107,                0.98727,                0.89226,                0.39526,                0.52469,                0.29396,                0.81326,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.32786,                0.43917,                0.32159,                0.82377,                0.98866,                0.99107,                0.98738,                0.91455,                0.98866,                0.99107,                0.98738,                0.89197,                0.39304,                0.52454,                0.28921,                0.81259,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.33549,                0.44762,                0.32853,                0.80064,                0.98864,                0.99107,                0.98808,                0.91251,                0.98864,                0.99107,                0.98808,                0.89311,                0.39191,                0.52438,                0.28585,                0.81189,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.32048,                0.45877,                0.32065,                0.80261,                0.98863,                0.99107,                0.98794,                0.90895,                0.98863,                0.99107,                0.98794,                0.89628,                0.39137,                 0.5242,                0.28417,                0.81121,             3.3173e-05,             3.3173e-05,             3.3173e-05
